Geography,Const/Res,FIRE,Manufacturing,Retail,Services,WTU,Government,Public Education,Total
King,"82,716","76,460","91,898","102,915","821,216","121,531","101,821","87,073","1,485,630"
Kitsap,"5,342","3,258","2,664","10,494","38,095","2,962","28,480","7,051","98,346"
Pierce,"27,224","15,275","16,015","36,091","155,189","36,475","36,271","25,818","348,358"
Snohomish,"28,511","13,348","56,086","34,382","116,262","17,886","23,063","19,773","309,311"
Region,"143,793","108,341","166,663","183,882","1,130,761","178,854","189,636","139,715","2,241,645"
