region,component,year,OFM,REMI
King County,Migration,1990,31955.0,
King County,Migration,1991,30203.0,
King County,Migration,1992,8492.0,
King County,Migration,1993,8088.0,
King County,Migration,1994,7875.0,
King County,Migration,1995,4995.0,
King County,Migration,1996,4693.0,
King County,Migration,1997,9131.0,
King County,Migration,1998,16567.0,
King County,Migration,1999,15253.0,
King County,Migration,2000,14718.0,
King County,Migration,2001,7632.0,5742.00737476349
King County,Migration,2002,11740.0,-4857.885658741
King County,Migration,2003,53.0,-4938.14250826836
King County,Migration,2004,1825.0,1441.18496775627
King County,Migration,2005,2700.0,9380.99920749664
King County,Migration,2006,18657.0,16309.9787384272
King County,Migration,2007,12904.0,12693.995721638199
King County,Migration,2008,6936.0,14650.9843766689
King County,Migration,2009,4619.0,23260.9975337982
King County,Migration,2010,8468.0,12275.9883105755
King County,Migration,2011,1961.0,23656.0168266296
King County,Migration,2012,-1604.0,24555.0501346588
King County,Migration,2013,14135.0,23448.9254951477
King County,Migration,2014,24793.0,25274.9781608582
King County,Migration,2015,28376.0,28744.221329689
King County,Migration,2016,44038.0,27391.6892111301
King County,Migration,2017,18694.0,24520.8293199539
King County,Migration,2018,25411.0,11815.1090145111
King County,Migration,2019,29249.0,10297.010421752899
King County,Migration,2020,31376.0,15053.9489090443
King County,Migration,2021,8744.0,-28690.2062669396
King County,Migration,2022,22424.0,11560.037910938301
King County,Migration,2023,22923.0,18282.2587490082
King County,Migration,2024,22971.0,35932.0459365845
King County,Migration,2025,25676.0,63490.0318247932
King County,Migration,2026,4836.0,5173.06179314081
King County,Migration,2027,,-3725.07030145075
King County,Migration,2028,,-1070.55839898086
King County,Migration,2029,,2990.4592681821696
King County,Migration,2030,,9779.497315473729
King County,Migration,2031,,13935.3791981126
King County,Migration,2032,,16794.4166826857
King County,Migration,2033,,19362.535061888502
King County,Migration,2034,,23829.455789426
King County,Migration,2035,,23575.5072285742
King County,Migration,2036,,24735.6568409882
King County,Migration,2037,,23949.9187165513
King County,Migration,2038,,22350.696314717
King County,Migration,2039,,20512.899418620902
King County,Migration,2040,,18982.1210211019
King County,Migration,2041,,18183.0395398078
King County,Migration,2042,,17895.3639608279
King County,Migration,2043,,17927.573929316502
King County,Migration,2044,,18513.8320183051
King County,Migration,2045,,19301.338008056402
King County,Migration,2046,,20399.0738630353
King County,Migration,2047,,21681.999913598
King County,Migration,2048,,23109.1371240092
King County,Migration,2049,,24605.8796801162
King County,Migration,2050,,26142.0684816359
King County,Migration,2051,,27727.6458679086
King County,Migration,2052,,29218.8751970921
King County,Migration,2053,,30820.5339500855
King County,Migration,2054,,32421.347395234698
King County,Migration,2055,,33805.0926169374
King County,Migration,2056,,34976.0610392655
King County,Migration,2057,,35853.9398052822
King County,Migration,2058,,36568.8386496195
King County,Migration,2059,,37081.5351199544
King County,Migration,2060,,37423.9164553856
King County,Natural Increase,1990,12049.0,
King County,Natural Increase,1991,12483.0,
